fraction_removed,giant_component_size
0.0,1.0
0.01,0.99
0.02,0.98
0.03,0.97
0.04,0.96
0.05,0.95
0.06,0.94
0.07,0.93
0.08,0.92
0.09,0.91
0.1,0.9
0.11,0.89
0.12,0.88
0.13,0.87
0.14,0.86
0.15,0.85
0.16,0.84
0.17,0.83
0.18,0.82
0.19,0.81
0.2,0.7993333333333333
0.21,0.7893333333333333
0.22,0.7793333333333333
0.23,0.7686666666666667
0.24,0.7586666666666667
0.25,0.7486666666666667
0.26,0.7386666666666667
0.27,0.7286666666666667
0.28,0.7186666666666667
0.29,0.7073333333333334
0.3,0.6966666666666667
0.31,0.6866666666666666
0.32,0.676
0.33,0.666
0.34,0.654
0.35,0.6433333333333333
0.36,0.6326666666666667
0.37,0.6233333333333333
0.38,0.6106666666666667
0.39,0.5986666666666667
0.4,0.5886666666666667
0.41,0.576
0.42,0.5646666666666667
0.43,0.5546666666666666
0.44,0.5433333333333333
0.45,0.5306666666666666
0.46,0.5126666666666667
0.47,0.502
0.48,0.49
0.49,0.476
0.5,0.4666666666666667
0.51,0.456
0.52,0.43933333333333335
0.53,0.42933333333333334
0.54,0.41933333333333334
0.55,0.406
0.56,0.394
0.57,0.384
0.58,0.374
0.59,0.362
0.6,0.35
0.61,0.342
0.62,0.33266666666666667
0.63,0.32066666666666666
0.64,0.30666666666666664
0.65,0.2926666666666667
0.66,0.286
0.67,0.2733333333333333
0.68,0.26
0.69,0.23533333333333334
0.7,0.22933333333333333
0.71,0.22133333333333333
0.72,0.214
0.73,0.19733333333333333
0.74,0.18866666666666668
0.75,0.176
0.76,0.15266666666666667
0.77,0.134
0.78,0.12333333333333334
0.79,0.11
0.8,0.09733333333333333
0.81,0.08866666666666667
0.82,0.08133333333333333
0.83,0.07866666666666666
0.84,0.06933333333333333
0.85,0.06
0.86,0.052
0.87,0.05
0.88,0.04666666666666667
0.89,0.042666666666666665
0.9,0.03266666666666666
0.91,0.018666666666666668
0.92,0.018
0.93,0.006666666666666667
0.94,0.006
0.95,0.0033333333333333335
0.96,0.0013333333333333333
0.97,0.0013333333333333333
0.98,0.0013333333333333333
0.99,0.0006666666666666666
1.0,0.0
